ActivationState: Unactivated
TimeZoneOffsetFromUTC: 18000.000000
TrustedHostAttached: true
UniqueChipID: 4567174413307174
UniqueDeviceID: 017b861a0bc672d9dd32e7f47b314a8ed701ac64
UseRaptorCerts: true
Uses24HourClock: false
WiFiAddress: 60:f4:45:a1:aa:5f
WirelessBoardSerialNumber: F501CC8536
kCTPostponementInfoPRIVersion: 0.0.1
kCTPostponementInfoServiceProvisioningState: true
kCTPostponementStatus: kCTPostponementStatusReady
